Année,PIB_en_euros_par_habitant,Code_INSEE_Région
2000,13120,01
2001,13944,01
2002,14452,01
2003,15435,01
2004,16036,01
2005,17099,01
2006,18039,01
2007,18560,01
2008,19479,01
2009,18556,01
2010,19307,01
2011,19971,01
2012,20421,01
2013,20557,01
2014,21088,01
2015,21648,01
2016,22215,01
2017,22634,01
2018,23386,01
2019,24142,01
2020,23069,01
2021,23925,01
2022,25903,01
2022,25903,01
2000,13864,02
2001,14693,02
2002,15148,02
2003,15900,02
2004,16704,02
2005,17573,02
2006,18455,02
2007,19080,02
2008,19941,02
2009,19274,02
2010,20092,02
2011,20862,02
2012,21314,02
2013,21508,02
2014,22244,02
2015,22902,02
2016,23096,02
2017,23703,02
2018,24264,02
2019,24452,02
2020,23964,02
2021,25047,02
2022,27179,02
2022,27179,02
2000,11814,03
2001,13152,03
2002,13483,03
2003,12717,03
2004,13018,03
2005,13258,03
2006,13874,03
2007,13786,03
2008,14123,03
2009,14329,03
2010,14508,03
2011,14971,03
2012,15638,03
2013,15534,03
2014,15480,03
2015,15091,03
2016,15356,03
2017,15151,03
2018,15607,03
2019,15633,03
2020,14954,03
2021,15436,03
2022,15656,03
2022,15656,03
2000,13218,04
2001,14000,04
2002,14746,04
2003,15384,04
2004,16216,04
2005,17085,04
2006,17992,04
2007,18937,04
2008,19513,04
2009,18637,04
2010,18629,04
2011,19335,04
2012,19630,04
2013,19701,04
2014,20045,04
2015,20608,04
2016,21171,04
2017,21707,04
2018,21922,04
2019,22463,04
2020,21949,04
2021,23360,04
2022,24663,04
2022,24663,04
2000,3081,06
2001,3446,06
2002,3810,06
2003,4174,06
2004,4538,06
2005,4902,06
2006,5266,06
2007,5630,06
2008,5994,06
2009,6358,06
2010,6723,06
2011,7087,06
2012,7451,06
2013,7815,06
2014,8137,06
2015,8789,06
2016,8992,06
2017,9494,06
2018,9262,06
2019,9753,06
2020,9983,06
2021,10735,06
2022,11579,06
2022,11579,06
2000,39324,11
2001,40414,11
2002,41600,11
2003,42134,11
2004,43264,11
2005,44714,11
2006,46108,11
2007,48825,11
2008,50367,11
2009,48620,11
2010,51223,11
2011,51828,11
2012,52862,11
2013,53752,11
2014,54249,11
2015,55425,11
2016,56467,11
2017,57843,11
2018,59635,11
2019,61920,11
2020,57019,11
2021,61417,11
2022,63256,11
2000,21605,24
2001,22355,24
2002,22802,24
2003,23257,24
2004,24145,24
2005,24575,24
2006,25465,24
2007,26518,24
2008,26269,24
2009,25549,24
2010,25952,24
2011,26582,24
2012,26723,24
2013,26841,24
2014,26948,24
2015,27433,24
2016,27571,24
2017,28258,24
2018,28827,24
2019,29447,24
2020,28357,24
2021,30225,24
2022,31093,24
2000,21160,27
2001,21752,27
2002,22200,27
2003,22524,27
2004,23440,27
2005,23725,27
2006,24497,27
2007,25696,27
2008,26176,27
2009,25094,27
2010,25054,27
2011,25864,27
2012,25500,27
2013,25591,27
2014,26050,27
2015,26371,27
2016,26452,27
2017,27354,27
2018,27865,27
2019,28417,27
2020,27558,27
2021,29085,27
2022,31323,27
2000,21277,28
2001,21712,28
2002,22243,28
2003,22888,28
2004,23798,28
2005,24275,28
2006,25133,28
2007,26288,28
2008,26656,28
2009,25624,28
2010,26246,28
2011,27026,28
2012,27121,28
2013,27327,28
2014,27357,28
2015,27888,28
2016,27810,28
2017,28064,28
2018,28492,28
2019,29059,28
2020,27867,28
2021,30307,28
2022,32210,28
2000,19233,32
2001,19790,32
2002,20400,32
2003,20985,32
2004,21647,32
2005,22253,32
2006,23181,32
2007,24306,32
2008,25038,32
2009,24156,32
2010,24464,32
2011,25207,32
2012,25233,32
2013,25436,32
2014,25620,32
2015,26205,32
2016,26339,32
2017,27188,32
2018,27696,32
2019,28297,32
2020,27366,32
2021,29090,32
2022,30968,32
2000,21871,44
2001,22343,44
2002,22773,44
2003,23140,44
2004,24195,44
2005,24496,44
2006,25322,44
2007,26490,44
2008,26860,44
2009,25833,44
2010,25857,44
2011,26770,44
2012,26517,44
2013,26806,44
2014,27082,44
2015,27384,44
2016,27523,44
2017,28338,44
2018,29016,44
2019,29477,44
2020,28172,44
2021,30022,44
2022,32159,44
2000,21497,52
2001,22404,52
2002,22954,52
2003,23500,52
2004,24229,52
2005,24883,52
2006,25682,52
2007,26827,52
2008,27733,52
2009,26638,52
2010,26670,52
2011,27894,52
2012,28028,52
2013,28274,52
2014,28611,52
2015,29224,52
2016,29613,52
2017,30328,52
2018,30982,52
2019,31898,52
2020,31151,52
2021,32711,52
2022,35235,52
2000,20700,53
2001,21354,53
2002,21797,53
2003,22365,53
2004,23725,53
2005,24516,53
2006,25446,53
2007,26191,53
2008,26045,53
2009,25037,53
2010,25147,53
2011,26101,53
2012,26329,53
2013,26598,53
2014,27083,53
2015,27666,53
2016,28185,53
2017,29093,53
2018,29481,53
2019,30318,53
2020,29457,53
2021,31192,53
2022,33648,53
2000,20619,75
2001,21557,75
2002,22282,75
2003,22676,75
2004,23342,75
2005,23988,75
2006,24996,75
2007,25969,75
2008,25921,75
2009,25387,75
2010,25747,75
2011,26666,75
2012,26919,75
2013,26932,75
2014,27319,75
2015,27732,75
2016,28047,75
2017,28660,75
2018,29398,75
2019,30199,75
2020,29037,75
2021,31075,75
2022,32661,75
2000,19667,76
2001,20690,76
2002,21191,76
2003,21752,76
2004,22565,76
2005,23377,76
2006,24692,76
2007,25230,76
2008,25701,76
2009,25205,76
2010,25285,76
2011,26161,76
2012,26501,76
2013,26623,76
2014,27049,76
2015,27545,76
2016,27952,76
2017,28458,76
2018,29212,76
2019,29947,76
2020,28309,76
2021,30316,76
2022,31710,76
2000,23681,84
2001,24369,84
2002,24702,84
2003,25147,84
2004,26465,84
2005,27110,84
2006,28414,84
2007,29451,84
2008,30260,84
2009,28969,84
2010,29500,84
2011,30608,84
2012,30675,84
2013,30800,84
2014,31079,84
2015,31646,84
2016,32254,84
2017,33159,84
2018,34210,84
2019,35015,84
2020,33539,84
2021,35517,84
2022,37271,84
2000,22017,93
2001,22967,93
2002,23417,93
2003,24064,93
2004,25242,93
2005,26207,93
2006,27301,93
2007,28088,93
2008,28488,93
2009,27968,93
2010,29151,93
2011,29629,93
2012,30373,93
2013,30165,93
2014,30427,93
2015,30913,93
2016,31264,93
2017,32061,93
2018,32773,93
2019,33446,93
2020,31783,93
2021,37255,93
2022,40043,93
2000,17738,94
2001,18524,94
2002,18746,94
2003,19276,94
2004,19937,94
2005,20822,94
2006,21940,94
2007,22162,94
2008,23909,94
2009,24331,94
2010,24317,94
2011,25319,94
2012,25426,94
2013,25503,94
2014,25612,94
2015,26203,94
2016,26260,94
2017,26898,94
2018,27686,94
2019,28156,94
2020,26161,94
2021,29059,94
2022,29260,94
