DEP_RES_22;AN_RECENS;POND
01;1968;338752.0
01;1975;377595.0
01;1982;420600.0
01;1990;471867.0
01;1999;516063.0
01;2009;588867.1015229793
01;2014;626037.3706306648
01;2020;658139.060366022
02;1968;526112.0
02;1975;533410.0
02;1982;533296.0
02;1990;538068.0
02;1999;535820.0
02;2009;539502.7862915234
02;2014;539509.6734132749
02;2020;529490.089738826
03;1968;385408.0
03;1975;380635.0
03;1982;368008.0
03;1990;358326.0
03;1999;344519.0
03;2009;342554.126028749
03;2014;342764.62248643965
03;2020;335379.5290052639
04;1968;105348.0
04;1975;111755.0
04;1982;119152.0
04;1990;131064.0
04;1999;140056.0
04;2009;159503.1741054245
04;2014;161724.4332901503
04;2020;165731.6921784078
05;1968;92104.0
05;1975;97300.0
05;1982;105372.0
05;1990;113611.0
05;1999;121436.0
05;2009;135882.7309040505
05;2014;139897.136697768
05;2020;140400.13108178752
06;1968;723524.0
06;1975;816110.0
06;1982;879544.0
06;1990;972385.0
06;1999;1012385.0
06;2009;1079166.3185374984
06;2014;1083372.9966374203
06;2020;1097289.2256859848
07;1968;259580.0
07;1975;256305.0
07;1982;267576.0
07;1990;277857.0
07;1999;285781.0
07;2009;313270.5111130349
07;2014;322312.54289858066
07;2020;329398.4985528309
08;1968;308308.0
08;1975;310645.0
08;1982;302524.0
08;1990;296863.0
08;1999;290047.0
08;2009;283473.2064316385
08;2014;279511.930898156
08;2020;269983.833974075
09;1968;138972.0
09;1975;138500.0
09;1982;136872.0
09;1990;136636.0
09;1999;137384.0
09;2009;151043.6940807654
09;2014;152461.1665179778
09;2020;154006.0700730757
10;1968;270908.0
10;1975;284260.0
10;1982;288828.0
10;1990;289466.0
10;1999;291942.0
10;2009;303233.639862565
10;2014;308048.9327475785
10;2020;311720.7082928483
11;1968;276572.0
11;1975;270160.0
11;1982;280836.0
11;1990;298793.0
11;1999;310056.0
11;2009;353726.3677136535
11;2014;365466.4524463587
11;2020;375358.7522543658
12;1968;281664.0
12;1975;277970.0
12;1982;277928.0
12;1990;270766.0
12;1999;264145.0
12;2009;277032.5886358404
12;2014;278773.0755993728
12;2020;279545.3726918588
13;1968;1471284.0
13;1975;1632705.0
13;1982;1719856.0
13;1990;1758685.0
13;1999;1834026.0
13;2009;1967105.8775336784
13;2014;2006032.8186082928
13;2020;2047977.2673517996
14;1968;516092.0
14;1975;560095.0
14;1982;588796.0
14;1990;618739.0
14;1999;648330.0
14;2009;680054.402140066
14;2014;691210.9431350826
14;2020;697686.9227410806
15;1968;169792.0
15;1975;167105.0
15;1982;163128.0
15;1990;158761.0
15;1999;150682.0
15;2009;148488.8803666937
15;2014;146560.1061970827
15;2020;144320.7427799209
16;1968;330188.0
16;1975;337595.0
16;1982;340408.0
16;1990;342497.0
16;1999;337859.0
16;2009;351228.2023986575
16;2014;353514.2989648189
16;2020;351548.83516914194
17;1968;484668.0
17;1975;496065.0
17;1982;511604.0
17;1990;527720.0
17;1999;558026.0
17;2009;616641.7823428577
17;2014;637181.5189851187
17;2020;655648.4670459889
18;1968;304400.0
18;1975;317555.0
18;1982;320368.0
18;1990;321402.0
18;1999;314543.0
18;2009;310986.090492129
18;2014;310204.6257647777
18;2020;301072.2048676603
19;1968;237884.0
19;1975;241070.0
19;1982;242804.0
19;1990;238352.0
19;1999;232752.0
19;2009;243138.3420988776
19;2014;241695.0710096185
19;2020;239285.7028779527
21;1968;421564.0
21;1975;454660.0
21;1982;470692.0
21;1990;494306.0
21;1999;506768.0
21;2009;523864.8984959117
21;2014;531109.4263804321
21;2020;534634.7789301677
22;1968;506700.0
22;1975;524045.0
22;1982;539660.0
22;1990;539093.0
22;1999;542525.0
22;2009;587389.7039689957
22;2014;598016.1396353347
22;2020;603410.4644452588
23;1968;155376.0
23;1975;147345.0
23;1982;139108.0
23;1990;131132.0
23;1999;124685.0
23;2009;123467.3728841572
23;2014;120608.7706501452
23;2020;116178.1055806243
24;1968;376360.0
24;1975;373435.0
24;1982;377600.0
24;1990;386941.0
24;1999;388520.0
24;2009;411940.3524038776
24;2014;416524.9347070802
24;2020;413180.4248212782
25;1968;427952.0
25;1975;471845.0
25;1982;475952.0
25;1990;485175.0
25;1999;499361.0
25;2009;525432.97836917
25;2014;534427.5388614121
25;2020;545088.3652552507
26;1968;341300.0
26;1975;359715.0
26;1982;388768.0
26;1990;414546.0
26;1999;438265.0
26;2009;482869.14127354766
26;2014;499346.12221079506
26;2020;517223.4855476019
27;1968;383372.0
27;1975;423395.0
27;1982;463332.0
27;1990;514245.0
27;1999;541235.0
27;2009;582888.9244744342
27;2014;598109.8729366421
27;2020;599566.9289953486
28;1968;301996.0
28;1975;335460.0
28;1982;362300.0
28;1990;396646.0
28;1999;408240.0
28;2009;425036.7869675326
28;2014;433654.7978397231
28;2020;431412.7230583674
29;1968;767516.0
29;1975;805310.0
29;1982;829072.0
29;1990;838947.0
29;1999;852882.0
29;2009;893983.3387397334
29;2014;906459.2278255243
29;2020;917085.8129992322
2A;1968;89100.0
2A;1975;101505.0
2A;1982;108508.0
2A;1990;118515.0
2A;1999;118558.0
2A;2009;141319.970742175
2A;2014;151641.2346627693
2A;2020;160798.19865056052
2B;1968;120680.0
2B;1975;117560.0
2B;1982;131504.0
2B;1990;131520.0
2B;1999;141591.0
2B;2009;164328.814948191
2B;2014;172556.7253228175
2B;2020;182883.9539291012
30;1968;481232.0
30;1975;494290.0
30;1982;528656.0
30;1990;585376.0
30;1999;622757.0
30;2009;701595.2200357834
30;2014;736498.8438843846
30;2020;751265.8961593069
31;1968;689876.0
31;1975;773815.0
31;1982;820480.0
31;1990;925929.0
31;1999;1046400.0
31;2009;1230480.2249721268
31;2014;1317574.7151268015
31;2020;1415984.7453747278
32;1968;180860.0
32;1975;175000.0
32;1982;174588.0
32;1990;175360.0
32;1999;172119.0
32;2009;187273.96159961697
32;2014;190415.500964065
32;2020;191736.6032076727
33;1968;1004404.0
33;1975;1061415.0
33;1982;1128164.0
33;1990;1214431.0
33;1999;1287286.0
33;2009;1434126.38090272
33;2014;1525878.0373394487
33;2020;1636550.4596341404
34;1968;589816.0
34;1975;647710.0
34;1982;708836.0
34;1990;795142.0
34;1999;896668.0
34;2009;1031800.7078687511
34;2014;1107166.0353104887
34;2020;1188804.505647525
35;1968;650020.0
35;1975;702615.0
35;1982;748272.0
35;1990;799206.0
35;1999;867880.0
35;2009;977494.0628741116
35;2014;1032065.1711309627
35;2020;1088818.8439971502
36;1968;247060.0
36;1975;246770.0
36;1982;242592.0
36;1990;237687.0
36;1999;230819.0
36;2009;232105.8751075094
36;2014;226122.2187574163
36;2020;218468.6272616897
37;1968;436120.0
37;1975;477810.0
37;1982;503472.0
37;1990;529848.0
37;1999;553171.0
37;2009;588541.442837018
37;2014;604354.2340331726
37;2020;611977.5888430694
38;1968;765380.0
38;1975;861020.0
38;1982;936728.0
38;1990;1016655.0
38;1999;1094768.0
38;2009;1196290.4851213011
38;2014;1243482.9433306023
38;2020;1277717.0929051398
39;1968;233080.0
39;1975;240545.0
39;1982;242412.0
39;1990;249137.0
39;1999;251398.0
39;2009;261269.4730909121
39;2014;260647.8278668022
39;2020;258936.8033436616
40;1968;277244.0
40;1975;286600.0
40;1982;297480.0
40;1990;311939.0
40;1999;327452.0
40;2009;379255.18453864846
40;2014;400997.3122937208
40;2020;417812.3847366333
41;1968;267336.0
41;1975;282490.0
41;1982;295400.0
41;1990;306478.0
41;1999;315250.0
41;2009;327222.6475251853
41;2014;333561.5158261262
41;2020;329342.2451625255
42;1968;723120.0
42;1975;751335.0
42;1982;739536.0
42;1990;746677.0
42;1999;729134.0
42;2009;745778.1355834417
42;2014;756983.7958207421
42;2020;768303.185191911
43;1968;206452.0
43;1975;205385.0
43;1982;205900.0
43;1990;206992.0
43;1999;209661.0
43;2009;223072.4049316614
43;2014;226769.4695095361
43;2020;227239.1817260656
44;1968;859396.0
44;1975;931620.0
44;1982;995992.0
44;1990;1051754.0
44;1999;1135360.0
44;2009;1266059.8077102683
44;2014;1347854.7622107654
44;2020;1445312.5241914098
45;1968;432500.0
45;1975;490715.0
45;1982;535868.0
45;1990;580725.0
45;1999;618558.0
45;2009;653519.2234789513
45;2014;669471.1452788236
45;2020;682749.7263314925
46;1968;149784.0
46;1975;149670.0
46;1982;154476.0
46;1990;156046.0
46;1999;159857.0
46;2009;173396.7117204651
46;2014;173517.6197714241
46;2020;174397.2137991626
47;1968;290464.0
47;1975;291620.0
47;1982;299972.0
47;1990;306041.0
47;1999;305564.0
47;2009;329583.1224557941
47;2014;333272.9526723459
47;2020;330919.1070578671
48;1968;77268.0
48;1975;75225.0
48;1982;74156.0
48;1990;73010.0
48;1999;73391.0
48;2009;77125.485975077
48;2014;76380.4260554952
48;2020;76645.6146947535
49;1968;583308.0
49;1975;633725.0
49;1982;676540.0
49;1990;706086.0
49;1999;732509.0
49;2009;779559.1504177357
49;2014;804858.1036402043
49;2020;819299.26024396
50;1968;452664.0
50;1975;451315.0
50;1982;465344.0
50;1990;481415.0
50;1999;482469.0
50;2009;498442.5464583696
50;2014;500541.3028144181
50;2020;494897.3829680237
51;1968;485032.0
51;1975;529475.0
51;1982;542440.0
51;1990;559070.0
51;1999;564823.0
51;2009;566389.5461984974
51;2014;570872.49947726
51;2020;566593.9510870957
52;1968;214956.0
52;1975;213145.0
52;1982;210556.0
52;1990;204577.0
52;1999;195111.0
52;2009;185112.3208610057
52;2014;180798.1990809859
52;2020;171966.4964916757
53;1968;251660.0
53;1975;261520.0
53;1982;270932.0
53;1990;278351.0
53;1999;285266.0
53;2009;304958.9114406632
53;2014;307569.36908691
53;2020;306578.99285691325
54;1968;703668.0
54;1975;720545.0
54;1982;716632.0
54;1990;712753.0
54;1999;713202.0
54;2009;731283.180438179
54;2014;731993.1294397804
54;2020;732698.5252940542
55;1968;210364.0
55;1975;203395.0
55;1982;200164.0
55;1990;196470.0
55;1999;192229.0
55;2009;193456.057018013
55;2014;191590.473546112
55;2020;183088.2376605174
56;1968;540448.0
56;1975;562955.0
56;1982;589316.0
56;1990;620242.0
56;1999;644835.0
56;2009;715974.821615714
56;2014;741493.1797301777
56;2020;764058.837986391
57;1968;968456.0
57;1975;1003845.0
57;1982;1008500.0
57;1990;1011940.0
57;1999;1023016.0
57;2009;1044638.4448393343
57;2014;1044827.9258277429
57;2020;1049516.0429537708
58;1968;245816.0
58;1975;248685.0
58;1982;237584.0
58;1990;233528.0
58;1999;225362.0
58;2009;220189.0027877247
58;2014;213662.7630117453
58;2020;202727.6172257682
59;1968;2415156.0
59;1975;2508585.0
59;1982;2516908.0
59;1990;2533509.0
59;1999;2553433.0
59;2009;2571857.13792845
59;2014;2603439.741187965
59;2020;2607127.5508159734
60;1968;539996.0
60;1975;607825.0
60;1982;661424.0
60;1990;726869.0
60;1999;766038.0
60;2009;801550.5732038547
60;2014;818372.6337444353
60;2020;829635.3705339662
61;1968;288640.0
61;1975;294475.0
61;1982;295684.0
61;1990;294031.0
61;1999;292766.0
61;2009;291988.3196042867
61;2014;287823.1386326304
61;2020;278294.8948588177
62;1968;1395008.0
62;1975;1404665.0
62;1982;1409756.0
62;1990;1434113.0
62;1999;1441077.0
62;2009;1461113.562795291
62;2014;1472172.6656034137
62;2020;1463107.9222858178
63;1968;547536.0
63;1975;580160.0
63;1982;595812.0
63;1990;598916.0
63;1999;603992.0
63;2009;629142.6761566836
63;2014;643903.9199016385
63;2020;662131.535935673
64;1968;507236.0
64;1975;534575.0
64;1982;553868.0
64;1990;578840.0
64;1999;599916.0
64;2009;650293.210197085
64;2014;667080.747177384
64;2020;687138.9831972152
65;1968;225724.0
65;1975;227750.0
65;1982;228192.0
65;1990;224852.0
65;1999;222855.0
65;2009;229642.201585771
65;2014;228791.9844892741
65;2020;229573.4952398035
66;1968;281844.0
66;1975;301040.0
66;1982;334664.0
66;1990;363558.0
66;1999;393145.0
66;2009;445736.112338052
66;2014;466100.8881392587
66;2020;482497.44258367526
67;1968;829068.0
67;1975;883095.0
67;1982;913244.0
67;1990;952599.0
67;1999;1025236.0
67;2009;1093809.3272426943
67;2014;1113776.202282883
67;2020;1148297.0476222932
68;1968;583948.0
68;1975;636430.0
68;1982;648900.0
68;1990;671609.0
68;1999;706791.0
68;2009;748514.2607714173
68;2014;760302.1789766246
68;2020;767121.8128234184
69;1968;1318556.0
69;1975;1432910.0
69;1982;1441624.0
69;1990;1509593.0
69;1999;1579237.0
69;2009;1708671.106563358
69;2014;1802133.959359051
69;2020;1883149.1001101153
70;1968;212772.0
70;1975;220515.0
70;1982;231856.0
70;1990;230317.0
70;1999;229598.0
70;2009;239277.2350199153
70;2014;238147.4080063419
70;2020;234482.9576439999
71;1968;551860.0
71;1975;570415.0
71;1982;571508.0
71;1990;560015.0
71;1999;544768.0
71;2009;554789.5874847223
71;2014;555806.780785885
71;2020;551118.2151884886
72;1968;461072.0
72;1975;492550.0
72;1982;504836.0
72;1990;514304.0
72;1999;529553.0
72;2009;561341.5112970585
72;2014;568584.4344792968
72;2020;566961.5444737163
73;1968;289304.0
73;1975;306545.0
73;1982;324284.0
73;1990;348856.0
73;1999;373160.0
73;2009;410969.5624770239
73;2014;426877.2342576441
73;2020;439464.9211557261
74;1968;375540.0
74;1975;450395.0
74;1982;494268.0
74;1990;568833.0
74;1999;630750.0
74;2009;725679.7292195433
74;2014;783248.868154404
74;2020;834920.4605236567
75;1968;2573732.0
75;1975;2296945.0
75;1982;2176652.0
75;1990;2151245.0
75;1999;2125017.0
75;2009;2233905.8936519083
75;2014;2220809.485058733
75;2020;2145950.1529222475
76;1968;1109656.0
76;1975;1174955.0
76;1982;1193388.0
76;1990;1224673.0
76;1999;1238943.0
76;2009;1250237.5055669183
76;2014;1257909.9994116903
76;2020;1254973.7377115896
77;1968;607528.0
77;1975;756890.0
77;1982;885764.0
77;1990;1079494.0
77;1999;1193348.0
77;2009;1312280.134009586
77;2014;1377638.9728376372
77;2020;1428738.2212558927
78;1968;855304.0
78;1975;1080395.0
78;1982;1196828.0
78;1990;1307397.0
78;1999;1354100.0
78;2009;1407301.8033568817
78;2014;1421569.7110037296
78;2020;1449752.912969001
79;1968;326576.0
79;1975;336380.0
79;1982;341124.0
79;1990;346341.0
79;1999;344472.0
79;2009;366449.5204846844
79;2014;373259.532659525
79;2020;374835.52637069
80;1968;511436.0
80;1975;539205.0
80;1982;543988.0
80;1990;549062.0
80;1999;555846.0
80;2009;569510.6300979562
80;2014;571717.2239320484
80;2020;568719.1102800566
81;1968;333700.0
81;1975;338420.0
81;1982;338832.0
81;1990;343305.0
81;1999;343340.0
81;2009;373981.57123059616
81;2014;384833.3199630335
81;2020;390810.6471306065
82;1968;182492.0
82;1975;183600.0
82;1982;189564.0
82;1990;200401.0
82;1999;206025.0
82;2009;239400.8023221828
82;2014;252675.8515139356
82;2020;262426.4992883487
83;1968;558112.0
83;1975;625955.0
83;1982;711324.0
83;1990;816026.0
83;1999;898423.0
83;2009;1007097.675231937
83;2014;1038246.2456154439
83;2020;1085339.680830027
84;1968;355184.0
84;1975;392385.0
84;1982;427892.0
84;1990;467008.0
84;1999;499567.0
84;2009;540179.4358947603
84;2014;553917.7769842364
84;2020;561954.2117274822
85;1968;419400.0
85;1975;448770.0
85;1982;483156.0
85;1990;509845.0
85;1999;539215.0
85;2009;625993.5475427812
85;2014;661898.6004825032
85;2020;692509.9125935137
86;1968;339972.0
86;1975;356555.0
86;1982;371632.0
86;1990;380459.0
86;1999;398373.0
86;2009;425832.6757455897
86;2014;433068.8002423543
86;2020;439061.04192624515
87;1968;341264.0
87;1975;352870.0
87;1982;354664.0
87;1990;353914.0
87;1999;353784.0
87;2009;374815.673427905
87;2014;375916.1915726542
87;2020;372145.2512969982
88;1968;387272.0
88;1975;397650.0
88;1982;394068.0
88;1990;386562.0
88;1999;381270.0
88;2009;380069.5328741096
88;2014;373668.23789181386
88;2020;362471.7105029522
89;1968;282128.0
89;1975;300780.0
89;1982;311252.0
89;1990;323368.0
89;1999;332965.0
89;2009;343287.70946293115
89;2014;341936.90069271397
89;2020;333479.8114474532
90;1968;117836.0
90;1975;127945.0
90;1982;131848.0
90;1990;134313.0
90;1999;137203.0
90;2009;142432.7789513572
90;2014;144238.6440515832
90;2020;139808.3544676791
91;1968;673824.0
91;1975;923820.0
91;1982;987988.0
91;1990;1085002.0
91;1999;1133320.0
91;2009;1207507.5322149089
91;2014;1268463.676682522
91;2020;1305656.7695237626
92;1968;1459320.0
92;1975;1440670.0
92;1982;1386244.0
92;1990;1390592.0
92;1999;1428384.0
92;2009;1561666.0300048229
92;2014;1597883.5464249377
92;2020;1626157.2616446132
93;1968;1252540.0
93;1975;1321700.0
93;1982;1326548.0
93;1990;1381180.0
93;1999;1382892.0
93;2009;1515848.0733855271
93;2014;1570997.2112474446
93;2020;1654935.5929898934
94;1968;1119508.0
94;1975;1213980.0
94;1982;1192692.0
94;1990;1215143.0
94;1999;1225594.0
94;2009;1318486.2593226794
94;2014;1365040.0559871932
94;2020;1407621.0599282796
95;1968;693248.0
95;1975;842265.0
95;1982;918352.0
95;1990;1050022.0
95;1999;1104507.0
95;2009;1168630.5495799321
95;2014;1205579.4295919705
95;2020;1251621.352711386
971;1990;353490.0
971;1999;386256.0
971;2009;401614.8947603611
971;2014;400292.930491064
971;2020;383551.70439462777
972;1990;359579.0
972;1999;381325.0
972;2009;396285.0561278018
972;2014;383805.841651886
972;2020;361228.572358672
973;1990;114808.0
973;1999;156790.0
973;2009;224252.8320935948
973;2014;252074.1300997618
973;2020;285458.5525415414
974;1990;597828.0
974;1999;706180.0
974;2009;816291.9654589706
974;2014;842683.3504734949
974;2020;863141.4397771603
